"Symbol","Date","Expiry","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","01-Jan-2013","28-Mar-2013","5500","575","598.15","570.1","585","585","585","45","136.88","118200","-1300","5950.85"
"NIFTY","02-Jan-2013","28-Mar-2013","5500","600","620","592.1","610","610","610","22","67.21","118150","-50","5993.25"
"NIFTY","03-Jan-2013","28-Mar-2013","5500","597","619","597","619","619","619","20","61.04","118700","550","6009.5"
"NIFTY","04-Jan-2013","28-Mar-2013","5500","590.05","626","590.05","624.05","623","624.05","19","58.08","118600","-100","6016.15"
"NIFTY","07-Jan-2013","28-Mar-2013","5500","615","626.35","595.9","604.35","595.9","604.35","181","553.12","117750","-850","5988.4"
"NIFTY","08-Jan-2013","28-Mar-2013","5500","570.1","612.9","570.1","612.05","612.9","612.05","30","91.39","117900","150","6001.7"
"NIFTY","09-Jan-2013","28-Mar-2013","5500","620","623","572","576.95","582","576.95","200","610.26","121700","3800","5971.5"
"NIFTY","10-Jan-2013","28-Mar-2013","5500","596","597","572.8","576.1","576.1","576.1","92","280.08","121300","-400","5968.65"
"NIFTY","11-Jan-2013","28-Mar-2013","5500","590","595","562","562","562","562","73","221.98","121350","50","5951.3"
"NIFTY","14-Jan-2013","28-Mar-2013","5500","595.9","630","595","627","630","627","31","94.64","121400","50","6024.05"
"NIFTY","15-Jan-2013","28-Mar-2013","5500","620","670","620","660","660","660","32","98.14","121550","150","6056.6"
"NIFTY","16-Jan-2013","28-Mar-2013","5500","633.6","638","592.4","594.95","592.4","594.95","75","229.93","120050","-1500","6001.85"
"NIFTY","17-Jan-2013","28-Mar-2013","5500","605","646","605","646","646","646","15","45.88","120100","50","6039.2"
"NIFTY","18-Jan-2013","28-Mar-2013","5500","655","665.9","640","647","640","647","43","132.26","120050","-50","6064.4"
"NIFTY","21-Jan-2013","28-Mar-2013","5500","656","672","645","662.4","665","662.4","27","83.12","120050","0","6082.3"
"NIFTY","22-Jan-2013","28-Mar-2013","5500","660.95","682","628.2","638","630","638","42","129.36","121150","1100","6048.5"
"NIFTY","23-Jan-2013","28-Mar-2013","5500","644","650","600.2","642.35","650","642.35","159","487.67","128400","7250","6054.3"
"NIFTY","24-Jan-2013","28-Mar-2013","5500","614","624.9","582.75","592.05","582.75","592.05","75","229.14","130450","2050","6019.35"
"NIFTY","25-Jan-2013","28-Mar-2013","5500","602.9","650","598","649","650","649","104","318.6","134250","3800","6074.65"
"NIFTY","28-Jan-2013","28-Mar-2013","5500","650","664.8","640","652.85","651","652.85","343","1054.78","147950","13700","6074.8"
"NIFTY","29-Jan-2013","28-Mar-2013","5500","647","679.9","615","617","618","617","148","454.8","150200","2250","6049.9"
"NIFTY","30-Jan-2013","28-Mar-2013","5500","630","645","618.95","629.8","630","629.8","269","824.59","158000","7800","6055.75"
"NIFTY","31-Jan-2013","28-Mar-2013","5500","615","621.5","587.1","599.5","600","599.5","710","2169.71","191300","33300","6034.75"
"NIFTY","01-Feb-2013","28-Mar-2013","5500","615.95","616.05","565.6","571.2","574","571.2","110","335.18","193300","2000","5998.9"
"NIFTY","04-Feb-2013","28-Mar-2013","5500","580.3","580.3","531","535.05","535","535.05","262","793.13","193900","600","-"
"NIFTY","05-Feb-2013","28-Mar-2013","5500","525","526.5","508","510.85","514","510.85","182","547.43","191600","-2300","5956.9"
"NIFTY","06-Feb-2013","28-Mar-2013","5500","520","525","505","517","517","517","52","156.47","192000","400","5959.2"
"NIFTY","07-Feb-2013","28-Mar-2013","5500","493.25","505.6","481","495.5","495.5","495.5","102","305.56","189550","-2450","5938.8"
"NIFTY","08-Feb-2013","28-Mar-2013","5500","485.4","503","441","459.85","456.95","459.85","86","256.91","190200","650","5903.5"
"NIFTY","11-Feb-2013","28-Mar-2013","5500","456.15","470","448.5","456","456","456","103","306.78","192600","2400","5897.85"
"NIFTY","12-Feb-2013","28-Mar-2013","5500","461","475","444.75","475","475","475","179","533.53","200200","7600","5922.5"
"NIFTY","13-Feb-2013","28-Mar-2013","5500","492","504.2","466.8","469.1","467.1","469.1","381","1140.29","213250","13050","5932.95"
"NIFTY","14-Feb-2013","28-Mar-2013","5500","472","478.65","433","441.6","433","441.6","108","321.86","213600","350","5896.95"
